"arrival","avg_speed_winner","avg_temperature","date","departure","distance","parcours_type","points_scale","profile_score","race_category","race_ranking","start_time","startlist_quality_score","uci_scale","vert_meters","won_how","stage_n","stage_type","win_type","km_solo","year","race_year","race"
"Bilbao",41.55,23,"01 July 2023","Bilbao",182,"hills uphill finish","GT.A.Stage",166,"ME - Men Elite","1","12:55",1584,"UCI.WR.GT.A.Stage",3221,"0.35 km solo",1,"rr","solo",0.35,2023,"tdf2023","tdf"
"San Sébastián",43.726,21,"02 July 2023","Vitoria-Gasteiz",208.9,"hills flat finish","GT.A.Stage",141,"ME - Men Elite","1","12:25",1584,"UCI.WR.GT.A.Stage",2949,"0.95 km solo",2,"rr","solo",0.95,2023,"tdf2023","tdf"
"Bayonne",40.989,23,"03 July 2023","Amorebieta-Etxano",193.5,"hills flat finish","GT.A.Stage",68,"ME - Men Elite","1","13:15",1584,"UCI.WR.GT.A.Stage",2667,"Sprint of large group",3,"rr","large group sprint",NA,2023,"tdf2023","tdf"
"Nogaro",41.09,25,"04 July 2023","Dax",181.8,"flat","GT.A.Stage",20,"ME - Men Elite","1","13:20",1584,"UCI.WR.GT.A.Stage",1427,"Sprint of large group",4,"rr","large group sprint",NA,2023,"tdf2023","tdf"
"Laruns",41.17,22,"05 July 2023","Pau",162.7,"mountains flat finish","GT.A.Stage",239,"ME - Men Elite","1","13:25",1584,"UCI.WR.GT.A.Stage",3652,"20.2 km solo",5,"rr","solo",20.2,2023,"tdf2023","tdf"
"Cauterets-Cambasque",37.083,21,"06 July 2023","Tarbes",144.9,"mountains uphill finish","GT.A.Stage",310,"ME - Men Elite","1","13:25",1584,"UCI.WR.GT.A.Stage",3894,"2.7 km solo",6,"rr","solo",2.7,2023,"tdf2023","tdf"
"Bordeaux",45.013,32,"07 July 2023","Mont-de-Marsan",169.9,"flat","GT.A.Stage",7,"ME - Men Elite","1","13:30",1584,"UCI.WR.GT.A.Stage",808,"Sprint of large group",7,"rr","large group sprint",NA,2023,"tdf2023","tdf"
"Limoges",47.704,31,"08 July 2023","Libourne",200.7,"hills flat finish","GT.A.Stage",61,"ME - Men Elite","1","12:45",1584,"UCI.WR.GT.A.Stage",1996,"Sprint of large group",8,"rr","large group sprint",NA,2023,"tdf2023","tdf"
"Puy de Dôme",42.144,30,"09 July 2023","Saint-Léonard-de-Noblat",182.4,"mountains uphill finish","GT.A.Stage",273,"ME - Men Elite","1","13:45",1584,"UCI.WR.GT.A.Stage",3441,"0.44 km solo",9,"rr","solo",0.44,2023,"tdf2023","tdf"
"Issoire",43.136,30,"11 July 2023","Vulcania",167.2,"hills flat finish","GT.A.Stage",118,"ME - Men Elite","1","13:20",1584,"UCI.WR.GT.A.Stage",3151,"Sprint of small group",10,"rr","small group sprint",NA,2023,"tdf2023","tdf"
"Moulins",44.62,23,"12 July 2023","Clermont-Ferrand",179.3,"hills flat finish","GT.A.Stage",34,"ME - Men Elite","1","13:25",1584,"UCI.WR.GT.A.Stage",1873,"Sprint of large group",11,"rr","large group sprint",NA,2023,"tdf2023","tdf"
"Belleville-en-Beaujolais",43.712,25,"13 July 2023","Roanne",168.8,"hills flat finish","GT.A.Stage",147,"ME - Men Elite","1","13:20",1584,"UCI.WR.GT.A.Stage",3120,"30.8 km solo",12,"rr","solo",30.8,2023,"tdf2023","tdf"
"Grand Colombier",41.853,28,"14 July 2023","Châtillon-Sur-Chalaronne",137.8,"mountains uphill finish","GT.A.Stage",260,"ME - Men Elite","1","13:45",1584,"UCI.WR.GT.A.Stage",2413,"11.7 km solo",13,"rr","solo",11.7,2023,"tdf2023","tdf"
"Morzine les Portes du Soleil",38.149,28,"15 July 2023","Annemasse",151.8,"mountains flat finish","GT.A.Stage",308,"ME - Men Elite","1","13:20",1584,"UCI.WR.GT.A.Stage",4281,"8 km solo",14,"rr","solo",8,2023,"tdf2023","tdf"
"Saint-Gervais Mont-Blanc",38.255,25,"16 July 2023","Les Gets les Portes du Soleil",179,"mountains uphill finish","GT.A.Stage",335,"ME - Men Elite","1","13:20",1584,"UCI.WR.GT.A.Stage",4483,"10.8 km solo",15,"rr","solo",10.8,2023,"tdf2023","tdf"
"Combloux",41.227,31,"18 July 2023","Passy",22.4,"mountains uphill finish","GT.A.Stage",109,"ME - Men Elite","1","13:05",1584,"UCI.WR.GT.A.Stage",636,"? - let us know!",16,"itt","other",NA,2023,"tdf2023","tdf"
"Courchevel",34.386,24,"19 July 2023","Saint-Gervais Mont-Blanc",165.7,"mountains flat finish","GT.A.Stage",445,"ME - Men Elite","1","12:30",1584,"UCI.WR.GT.A.Stage",5399,"13.1 km solo",17,"rr","solo",13.1,2023,"tdf2023","tdf"
"Bourg-en-Bresse",44.951,28,"20 July 2023","Moûtiers",184.9,"flat","GT.A.Stage",18,"ME - Men Elite","1","13:35",1584,"UCI.WR.GT.A.Stage",1216,"Sprint of small group",18,"rr","small group sprint",NA,2023,"tdf2023","tdf"
"Poligny",49.13,21,"21 July 2023","Moirans-en-Montagne",172.8,"hills flat finish","GT.A.Stage",50,"ME - Men Elite","1","13:30",1584,"UCI.WR.GT.A.Stage",1934,"Sprint of 3 riders",19,"rr","small group sprint",NA,2023,"tdf2023","tdf"
"Le Markstein",38.64,22,"22 July 2023","Belfort",133.5,"mountains flat finish","GT.A.Stage",303,"ME - Men Elite","1","13:45",1584,"UCI.WR.GT.A.Stage",3471,"Sprint of 5 riders",20,"rr","small group sprint",NA,2023,"tdf2023","tdf"
"Paris",39.19,23,"23 July 2023","Saint-Quentin-en-Yvelines",115.1,"flat","GT.A.Stage",14,"ME - Men Elite","1","16:40",1584,"UCI.WR.GT.A.Stage",577,"Sprint of large group",21,"rr","large group sprint",NA,2023,"tdf2023","tdf"
